;Apr09_TPC_0-1-0_LMW;Apr09_TPC_0-1-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1692,211;0,08416997;0,05846128;
1694,075;0,0823452;0,05669821;
1695,939;0,07944682;0,05386131;
1697,802;0,07635756;0,05083334;
1699,666;0,07422736;0,04876423;
1701,530;0,06998857;0,04458633;
1703,393;0,06736237;0,04202081;
1705,257;0,06531318;0,0400321;
1707,121;0,06289779;0,03767701;
1708,984;0,06085882;0,03569813;
1710,848;0,05904334;0,03394255;
1712,712;0,05774454;0,03270344;
1714,575;0,05666489;0,0316833;
1716,439;0,0553881;0,03046582;
1718,303;0,05341692;0,02855376;
1720,166;0,05139782;0,02659359;
1722,030;0,05008999;0,02534449;
1723,894;0,04885439;0,02416744;
1725,757;0,04781981;0,02319121;
1727,621;0,04698316;0,02241274;
1729,485;0,0463054;0,02179295;
1731,348;0,045698;0,02124334;
1733,212;0,04533168;0,02093463;
1735,076;0,04382747;0,01948784;
1736,939;0,0424256;0,0181432;
1738,803;0,0415932;0,01736786;
1740,667;0,04048349;0,01631501;
1742,530;0,03940798;0,01529619;
1744,394;0,03822801;0,01417272;
1746,258;0,03717684;0,01317788;
1748,121;0,03629961;0,0123568;
1749,985;0,03525413;0,01136728;
1751,849;0,03382231;0,009991245;
1753,712;0,03261245;0,008836992;
1755,576;0,03202534;0,008305314;
1757,440;0,0313065;0,007641726;
1759,303;0,03063408;0,007024385;
1761,167;0,03008564;0,006530848;
1763,031;0,02946266;0,005962604;
1764,894;0,02909994;0,005654441;
1766,758;0,02903205;0,005640935;
1768,622;0,02887972;0,005542822;
1770,485;0,02890022;0,005617356;
1772,349;0,02871216;0,005483168;
1774,213;0,02817733;0,005002042;
1776,076;0,02788841;0,004766659;
1777,940;0,02750231;0,004433917;
1779,804;0,02719712;0,004181923;
1781,667;0,02675115;0,003788991;
1783,531;0,02631635;0,003407055;
1785,395;0,025802;0,002945398;
1787,258;0,02536106;0,002556998;
1789,122;0,02507499;0,002323293;
1790,986;0,02500027;0,002300783;
1792,849;0,02470561;0,002058165;
1794,713;0,02437466;0,001779097;
1796,577;0,02413557;0,001591724;
1798,441;0,02399039;0,001498107;
1800,304;0,02400062;0,001559738;
1802,168;0,02390179;0,001512141;
1804,032;0,0236022;0,00126363;
1805,895;0,02345479;0,001167148;
1807,759;0,0233948;0,001157929;
1809,623;0,02322461;0,00103834;
1811,486;0,02298116;0,0008453456;
1813,350;0,0228035;0,0007179854;
1815,214;0,02284251;0,0008071351;
1817,077;0,02282316;0,0008377792;
1818,941;0,02257067;0,0006351207;
1820,805;0,02238383;0,0004979572;
1822,668;0,02233828;0,0005019387;
1824,532;0,02234325;0,0005562873;
1826,396;0,02217516;0,0004374208;
1828,259;0,02219749;0,0005088363;
1830,123;0,02216681;0,0005270745;
1831,987;0,02195776;0,0003668085;
1833,850;0,02186605;0,000323723;
1835,714;0,02174619;0,0002523419;
1837,578;0,02155994;0,0001144303;
1839,441;0,02151226;0,0001149314;
1841,305;0,02159543;0,0002461399;
1843,169;0,02147095;0,0001695626;
1845,032;0,02116053;-9,310891E-5;
1846,896;0,02112695;-7,908575E-5;
1848,760;0,02098365;-0,0001749289;
1850,623;0,02076493;-0,0003463321;
1852,487;0,02076224;-0,0003018394;
1854,351;0,02082066;-0,0001963917;
1856,214;0,02082975;-0,0001404067;
1858,078;0,02063242;-0,0002909877;
1859,942;0,02055105;-0,0003257508;
1861,805;0,02050254;-0,0003277916;
1863,669;0,0204984;-0,0002856041;
1865,533;0,02053294;-0,0002048707;
1867,396;0,02049533;-0,0001964238;
1869,260;0,02015504;-0,0004907954;
1871,124;0,0197654;-0,0008346651;
1872,987;0,01959671;-0,0009577044;
1874,851;0,01979719;-0,0007117256;
1876,715;0,01992068;-0,0005428647;
1878,578;0,01972314;-0,0006951697;
1880,442;0,0195429;-0,0008303013;
1882,306;0,01938905;-0,0009391863;
1884,169;0,01925599;-0,001027413;
1886,033;0,01928836;-0,0009503446;
1887,897;0,01928203;-0,0009121067;
1889,760;0,01925735;-0,0008923514;
1891,624;0,01906395;-0,001041444;
1893,488;0,01877791;-0,001283306;
1895,351;0,01864766;-0,001369514;
1897,215;0,01878973;-0,001183533;
1899,079;0,01882018;-0,001109298;
1900,942;0,01862852;-0,001257291;
1902,806;0,01823115;-0,001611141;
1904,670;0,01800007;-0,001798821;
1906,533;0,01787316;-0,001882449;
1908,397;0,01775542;-0,001957041;
1910,261;0,01734567;-0,002323774;
1912,124;0,01713879;-0,002487762;
1913,988;0,01723307;-0,002350709;
1915,852;0,0173354;-0,002205737;
1917,715;0,01726668;-0,002231935;
1919,579;0,01707308;-0,002383138;
1921,443;0,01659109;-0,00282285;
1923,306;0,0160405;-0,003331292;
1925,170;0,01598743;-0,003342334;
1927,034;0,01596489;-0,003322962;
1928,897;0,01538178;-0,003864295;
1930,761;0,01484646;-0,00435795;
1932,625;0,01465423;-0,004508629;
1934,488;0,01456321;-0,004558227;
1936,352;0,01399691;-0,005083227;
1938,216;0,01349037;-0,005548578;
1940,079;0,01306036;-0,005937528;
1941,943;0,01273445;-0,006222487;
1943,807;0,01255689;-0,006359216;
1945,670;0,0117021;-0,007173289;
1947,534;0,01078421;-0,008050585;
1949,398;0,01094327;-0,007851042;
1951,261;0,01050156;-0,008252392;
