;Jun15_TPC_0-0-1_HMW;Jun15_TPC_0-0-1_HMW (baseline corrected) (baseline corrected) (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1798,441;0,02273213;-0,01328532;
1800,304;0,02275212;-0,01322875;
1802,168;0,02291939;-0,01302501;
1804,032;0,02283375;-0,0130743;
1805,895;0,02274019;-0,01313162;
1807,759;0,02263781;-0,01319786;
1809,623;0,02264527;-0,01315439;
1811,486;0,02266526;-0,01309849;
1813,350;0,02265017;-0,01307778;
1815,214;0,02243984;-0,01325242;
1817,077;0,02240599;-0,01325069;
1818,941;0,02249147;-0,01312974;
1820,805;0,02251141;-0,01307444;
1822,668;0,02237935;-0,01317125;
1824,532;0,02240146;-0,013114;
1826,396;0,02250049;-0,01297993;
1828,259;0,0223011;-0,01314439;
1830,123;0,02248501;-0,01292566;
1831,987;0,02277742;-0,01259854;
1833,850;0,02251723;-0,01282412;
1835,714;0,02238778;-0,01291906;
1837,578;0,0223006;-0,01297185;
1839,441;0,02225734;-0,01298081;
1841,305;0,02196481;-0,01323915;
1843,169;0,02187368;-0,01329619;
1845,032;0,02232831;-0,01280758;
1846,896;0,0224669;-0,0126351;
1848,760;0,02234278;-0,01272545;
1850,623;0,022207;-0,01282755;
1852,487;0,02195682;-0,01304415;
1854,351;0,02209104;-0,01287646;
1856,214;0,02213347;-0,01280065;
1858,078;0,02224197;-0,01265888;
1859,942;0,02230942;-0,01255826;
1861,805;0,02229481;-0,0125398;
1863,669;0,02211867;-0,01268296;
1865,533;0,02205897;-0,01270979;
1867,396;0,02195039;-0,01278559;
1869,260;0,02204363;-0,01265967;
1871,124;0,02208669;-0,01258402;
1872,987;0,02212644;-0,01251179;
1874,851;0,02201355;-0,0125923;
1876,715;0,0217977;-0,01277585;
1878,578;0,0217365;-0,01280486;
1880,442;0,02178763;-0,01272163;
1882,306;0,0215741;-0,01290316;
1884,169;0,02148809;-0,01295725;
1886,033;0,02141767;-0,01299586;
1887,897;0,02123147;-0,01315034;
1889,760;0,02134471;-0,01300547;
1891,624;0,02162328;-0,01269537;
1893,488;0,02150185;-0,01278536;
1895,351;0,02130331;-0,01295255;
1897,215;0,02120564;-0,01301897;
1899,079;0,02120004;-0,01299341;
1900,942;0,02120368;-0,01295869;
1902,806;0,02104094;-0,01309045;
1904,670;0,02072706;-0,01337345;
1906,533;0,02090898;-0,01316073;
1908,397;0,02075223;-0,01328676;
1910,261;0,02038177;-0,01362661;
1912,124;0,02040252;-0,01357533;
1913,988;0,02051889;-0,01342852;
1915,852;0,02010085;-0,01381621;
1917,715;0,01976865;-0,01411815;
1919,579;0,01960787;-0,01424875;
1921,443;0,01953317;-0,01429336;
1923,306;0,01922942;-0,01456712;
1925,170;0,01921624;-0,01455038;
1927,034;0,01907262;-0,01466418;
1928,897;0,01899106;-0,014716;
1930,761;0,01887368;-0,01480372;
1932,625;0,01862646;-0,01502138;
1934,488;0,01824616;-0,0153722;
1936,352;0,01798231;-0,01560664;
1938,216;0,01765951;-0,01590013;
1940,079;0,01762013;-0,01591029;
1941,943;0,01705169;-0,01644959;
1943,807;0,01650687;-0,01696534;
1945,670;0,01642802;-0,01701522;
1947,534;0,01616969;-0,01724465;
1949,398;0,0156849;-0,01770063;
1951,261;0,01522228;-0,01813452;
1953,125;0,01469443;-0,01863373;
1954,989;0,01432353;-0,01897606;
1956,852;0,01377986;-0,01949125;
1958,716;0,0131976;-0,02004511;
1960,580;0,01233952;-0,02087487;
1962,443;0,01193898;-0,02124717;
1964,307;0,0113836;-0,02177439;
1966,171;0,01069443;-0,02243548;
1968,034;0,01027345;-0,02282846;
1969,898;0,01075106;-0,02232293;
1971,762;0,009828153;-0,023218;
1973,625;0,008422279;-0,02459611;
1975,489;0,00799916;-0,02499154;
1977,353;0,008661034;-0,02430207;
1979,216;0,009258595;-0,02367698;
1981,080;0,009811295;-0,02309683;
1982,944;0,01006545;-0,0228153;
1984,807;0,01039926;-0,02245419;
1986,671;0,01078205;-0,02204418;
1988,535;0,01136014;-0,02143895;
1990,398;0,01165981;-0,02111222;
1992,262;0,01172164;-0,0210234;
1994,126;0,01133498;-0,02138315;
1995,989;0,0118701;-0,02082118;
1997,853;0,01226878;-0,02039574;
1999,717;0,01218283;-0,020455;
2001,580;0,01140302;-0,0212082;
2003,444;0,01036013;-0,02222455;
2005,308;0,009375837;-0,02318237;
2007,171;0,008958843;-0,02357298;
2009,035;0,008662546;-0,02384295;
2010,899;0,008437472;-0,02404178;
2012,762;0,008090034;-0,02436305;
2014,626;0,008343803;-0,02408318;
2016,490;0,007935347;-0,0244656;
2018,353;0,008001852;-0,02437314;
2020,217;0,008205142;-0,02414397;
2022,081;0,007887972;-0,02443533;
2023,944;0,007470233;-0,02482732;
2025,808;0,007347108;-0,02492478;
2027,672;0,00743612;-0,02481017;
2029,535;0,008246744;-0,02397401;
2031,399;0,007633406;-0,02456189;
2033,263;0,007244087;-0,02492582;
2035,126;0,00839479;-0,0237498;
2036,990;0,009871392;-0,02224795;
2038,854;0,01016544;-0,02192872;
2040,717;0,01043017;-0,02163888;
2042,581;0,01078399;-0,02126002;
2044,445;0,01165385;-0,02036518;
2046,308;0,01260383;-0,01939029;
2048,172;0,01354082;-0,01842846;
2050,036;0,01468524;-0,01725928;
2051,899;0,01562533;-0,01629448;
2053,763;0,01610353;-0,01579165;
2055,627;0,01641039;-0,01546021;
2057,490;0,0164029;-0,01544321;
2059,354;0,01677444;-0,01504723;
2061,218;0,01754278;-0,01425452;
2063,081;0,01803322;-0,01373977;
