;May04_TPC_06-04-0_HMW;May04_TPC_06-04-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1410,797;0,1313031;0,1007466;
1412,661;0,1290102;0,09850232;
1414,525;0,1265302;0,09607076;
1416,388;0,1243204;0,093909;
1418,252;0,123096;0,09273253;
1420,116;0,1218386;0,09152269;
1421,979;0,119092;0,08882345;
1423,843;0,1168493;0,08662792;
1425,707;0,1148821;0,08470756;
1427,570;0,1127711;0,08264318;
1429,434;0,1112977;0,0812162;
1431,298;0,1097016;0,07966622;
1433,161;0,1076831;0,07769367;
1435,025;0,1065088;0,07656503;
1436,889;0,1066991;0,07680074;
1438,752;0,105335;0,07548185;
1440,616;0,1033054;0,07349725;
1442,480;0,1020985;0,07233502;
1444,343;0,1010324;0,07131348;
1446,207;0,1001178;0,0704431;
1448,071;0,09943134;0,0698007;
1449,934;0,09813654;0,06854972;
1451,798;0,09630156;0,06675834;
1453,662;0,09474856;0,06524871;
1455,525;0,09436718;0,06491047;
1457,389;0,09562618;0,0662124;
1459,253;0,0938783;0,06450722;
1461,116;0,09126986;0,06194128;
1462,980;0,08989175;0,06060544;
1464,844;0,08964451;0,06040026;
1466,707;0,08823653;0,05903412;
1468,571;0,08620471;0,05704394;
1470,435;0,08528222;0,05616287;
1472,298;0,08619346;0,05711532;
1474,162;0,08637862;0,05734149;
1476,026;0,0856521;0,05665576;
1477,889;0,08524992;0,05629418;
1479,753;0,08500062;0,05608527;
1481,617;0,08534765;0,05647249;
1483,480;0,08549256;0,05665738;
1485,344;0,08574024;0,05694485;
1487,208;0,08700507;0,05824926;
1489,071;0,08904341;0,06032698;
1490,935;0,09047674;0,06179951;
1492,799;0,0900088;0,06137056;
1494,662;0,09044249;0,06184305;
1496,526;0,09310318;0,06454234;
1498,390;0,09497935;0,06645693;
1500,253;0,09511793;0,06663373;
1502,117;0,09470788;0,06626172;
1503,981;0,0951084;0,06670008;
1505,844;0,09966207;0,07129141;
1507,708;0,105503;0,07716979;
1509,572;0,104826;0,07653015;
1511,435;0,1044358;0,07617699;
1513,299;0,1051556;0,07693372;
1515,163;0,1062937;0,07810859;
1517,026;0,1086028;0,08045423;
1518,890;0,1099479;0,08183572;
1520,754;0,1127196;0,0846436;
1522,618;0,1162223;0,08818237;
1524,481;0,1169167;0,08891261;
1526,345;0,1189155;0,09094705;
1528,209;0,1207567;0,09282377;
1530,072;0,1217549;0,09385731;
1531,936;0,123743;0,09588058;
1533,800;0,1275563;0,09972889;
1535,663;0,1284523;0,1006597;
1537,527;0,128706;0,100948;
1539,391;0,1343276;0,1066041;
1541,254;0,1407867;0,1130975;
1543,118;0,1421378;0,1144828;
1544,982;0,143491;0,1158699;
1546,845;0,1444315;0,1168442;
1548,709;0,145449;0,1178954;
1550,573;0,1472451;0,119725;
1552,436;0,1478598;0,1203731;
1554,300;0,1485961;0,1211425;
1556,164;0,1495792;0,1221586;
1558,027;0,1530918;0,1257041;
1559,891;0,1591177;0,1317627;
1561,755;0,1565115;0,1291891;
1563,618;0,1542424;0,1269524;
1565,482;0,1540567;0,1267988;
1567,346;0,1539472;0,1267215;
1569,209;0,1544723;0,1272785;
1571,073;0,1546453;0,1274833;
1572,937;0,1527697;0,1256393;
1574,800;0,1523642;0,1252652;
1576,664;0,1537553;0,1266877;
1578,528;0,1528696;0,1258332;
1580,391;0,1508582;0,1238528;
1582,255;0,1499154;0,122941;
1584,119;0,1487911;0,1218473;
1585,982;0,147555;0,1206418;
1587,846;0,1462359;0,1193533;
1589,710;0,1451423;0,11829;
1591,573;0,1437651;0,116943;
1593,437;0,1424628;0,1156707;
1595,301;0,1410733;0,1143111;
1597,164;0,1396006;0,1128681;
1599,028;0,1378209;0,111118;
1600,892;0,1362721;0,1095987;
1602,755;0,1346721;0,108028;
1604,619;0,1330241;0,1064093;
1606,483;0,1311153;0,1045295;
1608,346;0,1294438;0,102887;
1610,210;0,1276431;0,101115;
1612,074;0,1256763;0,09917693;
1613,937;0,1235707;0,0970998;
1615,801;0,1222561;0,09581369;
1617,665;0,1212903;0,09487614;
1619,528;0,1191198;0,09273375;
1621,392;0,1169384;0,09058037;
1623,256;0,1157935;0,08946338;
1625,119;0,1143402;0,08803782;
1626,983;0,1124413;0,08616659;
1628,847;0,1106872;0,08443995;
1630,710;0,1086872;0,08246729;
1632,574;0,1066477;0,08045505;
1634,438;0,1056243;0,0794588;
1636,301;0,1052446;0,07910614;
1638,165;0,1032931;0,07718149;
1640,029;0,1008285;0,07474368;
1641,892;0,09891198;0,07285378;
1643,756;0,09701615;0,07098447;
1645,620;0,09576884;0,06976356;
1647,483;0,09479807;0,06881908;
1649,347;0,09271725;0,06676442;
1651,211;0,09059766;0,06467087;
1653,074;0,09074947;0,06484861;
1654,938;0,08966354;0,06378849;
