;Mar24_TPC_08-02-0_HMW;Mar24_TPC_08-02-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1397,752;0,1506455;0,1265917;
1399,615;0,1495946;0,1256001;
1401,479;0,1482428;0,1243074;
1403,343;0,1474874;0,1236107;
1405,206;0,1463139;0,1224957;
1407,070;0,1446019;0,1208419;
1408,934;0,1430534;0,1193512;
1410,797;0,1413856;0,117741;
1412,661;0,1393341;0,1157467;
1414,525;0,1373208;0,1137903;
1416,388;0,1361694;0,1126955;
1418,252;0,1355436;0,112126;
1420,116;0,1328805;0,1095191;
1421,979;0,130398;0,1070923;
1423,843;0,1284121;0,1051618;
1425,707;0,1261305;0,1029354;
1427,570;0,1244241;0,1012839;
1429,434;0,1227534;0,09966778;
1431,298;0,1204945;0,09746316;
1433,161;0,1185114;0,09553408;
1435,025;0,118232;0,09530849;
1436,889;0,117335;0,09446492;
1438,752;0,1148732;0,09205629;
1440,616;0,1130619;0,09029792;
1442,480;0,1116451;0,08893374;
1444,343;0,1104444;0,08778543;
1446,207;0,1096292;0,08702234;
1448,071;0,1085537;0,08599865;
1449,934;0,1067934;0,08428989;
1451,798;0,1050643;0,08261215;
1453,662;0,1039378;0,08153671;
1455,525;0,1049356;0,08258525;
1457,389;0,1048381;0,0825383;
1459,253;0,1021677;0,07991814;
1461,116;0,1000487;0,0778492;
1462,980;0,09965487;0,07750507;
1464,844;0,09912366;0,07702336;
1466,707;0,09751058;0,07545953;
1468,571;0,09609799;0,07409593;
1470,435;0,0964319;0,07447859;
1472,298;0,0974505;0,0755457;
1474,162;0,0971898;0,07533325;
1476,026;0,09649092;0,07468239;
1477,889;0,09587508;0,07411432;
1479,753;0,09582673;0,07411351;
1481,617;0,09592858;0,07426265;
1483,480;0,09591568;0,07429681;
1485,344;0,09640807;0,07483602;
1487,208;0,09769539;0,07616993;
1489,071;0,09929972;0,07782061;
1490,935;0,09927785;0,07784485;
1492,799;0,09869521;0,07730811;
1494,662;0,09961569;0,07827425;
1496,526;0,1014374;0,08014142;
1498,390;0,1020909;0,08084013;
1500,253;0,1015406;0,08033477;
1502,117;0,1009853;0,0798243;
1503,981;0,1025142;0,08139772;
1505,844;0,1069775;0,08590535;
1507,708;0,1091002;0,08807213;
1509,572;0,1079085;0,08692427;
1511,435;0,1077067;0,08676615;
