;Jun18_TPC_0-1-0_HMW;Jun18_TPC_0-1-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1429,434;0,1203578;0,08255422;
1431,298;0,1191517;0,08143917;
1433,161;0,1176346;0,08001271;
1435,025;0,1176743;0,08014266;
1436,889;0,119669;0,08222728;
1438,752;0,1191257;0,08177357;
1440,616;0,1176423;0,0803794;
1442,480;0,117129;0,07995501;
1444,343;0,1167057;0,07962028;
1446,207;0,1167453;0,07974811;
1448,071;0,1170404;0,08013102;
1449,934;0,1161437;0,07932189;
1451,798;0,1142727;0,07753806;
1453,662;0,1126746;0,07602683;
1455,525;0,1128512;0,07628996;
1457,389;0,1151388;0,07866376;
1459,253;0,1126154;0,07622617;
1461,116;0,1089606;0,07265691;
1462,980;0,1070272;0,07080879;
1464,844;0,1064756;0,070342;
1466,707;0,1044022;0,06835314;
1468,571;0,1015379;0,06557315;
1470,435;0,1000793;0,06419841;
1472,298;0,1011034;0,0653061;
1474,162;0,101341;0,06562704;
1476,026;0,100399;0,06476796;
1477,889;0,09977272;0,06422436;
1479,753;0,0994905;0,06402449;
1481,617;0,1000676;0,06468357;
1483,480;0,1003504;0,06504814;
1485,344;0,1008845;0,06566362;
1487,208;0,1029701;0,06783032;
1489,071;0,1063457;0,07128672;
1490,935;0,1084399;0,07346144;
1492,799;0,1076594;0,07276114;
1494,662;0,1083833;0,07356493;
1496,526;0,1125734;0,07783469;
1498,390;0,1154038;0,08074441;
1500,253;0,1154915;0,08091111;
1502,117;0,1147015;0,08019982;
1503,981;0,1152767;0,08085341;
1505,844;0,1222976;0,08795241;
1507,708;0,1313786;0,09711129;
1509,572;0,1300792;0,09588947;
1511,435;0,1294458;0,09533331;
1513,299;0,13029;0,09625451;
1515,163;0,1318591;0,09790032;
1517,026;0,1346851;0,1008027;
1518,890;0,1361592;0,1023529;
1520,754;0,1399521;0,1062217;
1522,618;0,1444014;0,1107466;
1524,481;0,144776;0,1111965;
1526,345;0,1473008;0,1137963;
1528,209;0,1492038;0,1157741;
1530,072;0,1498555;0,1165002;
1531,936;0,1522233;0,1189422;
1533,800;0,1569077;0,1237006;
1535,663;0,1571669;0,1240335;
1537,527;0,1571662;0,1241061;
1539,391;0,1644077;0,1314208;
1541,254;0,1727565;0,1398424;
1543,118;0,1738752;0,1410337;
1544,982;0,1751687;0,1423996;
1546,845;0,1756498;0,1429527;
1548,709;0,1765268;0,1439016;
1550,573;0,1785156;0,1459619;
1552,436;0,1789538;0,1464714;
1554,300;0,1791725;0,1467612;
1556,164;0,1800304;0,1476898;
1558,027;0,1843231;0,1520531;
1559,891;0,1907922;0,1585925;
1561,755;0,1861774;0,1540477;
1563,618;0,182768;0,150708;
1565,482;0,1813611;0,1493707;
1567,346;0,1802454;0,1483243;
1569,209;0,1795988;0,1477467;
1571,073;0,1780639;0,1462806;
1572,937;0,1749153;0,1432005;
