;Jun02_TPC_1-0-0_LMW;Jun02_TPC_1-0-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1421,979;0,08958608;0,06728877;
1423,843;0,08639377;0,06413163;
1425,707;0,08348443;0,06125733;
1427,570;0,08157793;0,05938573;
1429,434;0,08190964;0,05975221;
1431,298;0,08326492;0,06114211;
1433,161;0,08146081;0,05937249;
1435,025;0,07695023;0,05489627;
1436,889;0,07175064;0,04973091;
1438,752;0,06783252;0,04584688;
1440,616;0,06467726;0,04272558;
1442,480;0,06119662;0,03927877;
1444,343;0,05749108;0,03560692;
1446,207;0,05336609;0,03151551;
1448,071;0,0486232;0,02680605;
1449,934;0,04400731;0,02222347;
1451,798;0,04019793;0,01844727;
1453,662;0,03750081;0,0157832;
1455,525;0,03609624;0,01441156;
1457,389;0,03444372;0,01279184;
1459,253;0,03286417;0,01124496;
1461,116;0,03175348;0,01016682;
1462,980;0,03093986;0,009385628;
1464,844;0,02995395;0,00843202;
1466,707;0,02873842;0,007248662;
1468,571;0,02775635;0,006298652;
1470,435;0,02716495;0,005739183;
1472,298;0,02651714;0,005123187;
1474,162;0,02542517;0,004062906;
1476,026;0,02460695;0,003276262;
1477,889;0,02397786;0,002678629;
1479,753;0,02359081;0,002322908;
1481,617;0,02324814;0,002011452;
1483,480;0,02296;0,001754409;
1485,344;0,02282903;0,001654426;
1487,208;0,02273853;0,001594789;
1489,071;0,02258592;0,001472929;
1490,935;0,02207751;0,0009951517;
1492,799;0,02162568;0,0005738451;
1494,662;0,02158679;0,0005653593;
1496,526;0,02153928;0,0005481394;
1498,390;0,02120711;0,0002461461;
1500,253;0,02087006;-6,083342E-5;
1502,117;0,02078276;-0,0001181836;
1503,981;0,02095975;8,865145E-5;
1505,844;0,02122703;0,0003856591;
1507,708;0,02057098;-0,0002407694;
1509,572;0,01984231;-0,0009399248;
1511,435;0,01962278;-0,001130048;
1513,299;0,01955396;-0,001169569;
1515,163;0,01963335;-0,001061;
1517,026;0,01953671;-0,001128555;
1518,890;0,01932742;-0,001308878;
1520,754;0,01937369;-0,001233741;
1522,618;0,01909236;-0,001486306;
1524,481;0,01903072;-0,001519293;
1526,345;0,01905485;-0,001466612;
1528,209;0,01905061;-0,001442406;
1530,072;0,01902564;-0,001439042;
1531,936;0,01930669;-0,001129745;
1533,800;0,0194726;-0,0009356999;
1535,663;0,01944356;-0,0009367159;
1537,527;0,01981366;-0,0005386798;
1539,391;0,02046858;0,0001440719;
1541,254;0,02053954;0,0002427621;
1543,118;0,02030957;4,042016E-5;
1544,982;0,02040863;0,0001670085;
1546,845;0,02072331;0,0005091137;
1548,709;0,02125218;0,001065314;
1550,573;0,02160944;0,001449805;
1552,436;0,02202611;0,001893606;
1554,300;0,02255958;0,00245411;
1556,164;0,02317299;0,003094466;
1558,027;0,02408285;0,004031162;
1559,891;0,02408035;0,00405541;
1561,755;0,02375748;0,003759196;
1563,618;0,02411797;0,004146238;
1565,482;0,02469926;0,004753989;
1567,346;0,02519149;0,005272582;
1569,209;0,02570071;0,005808076;
1571,073;0,02595387;0,006087409;
1572,937;0,02614132;0,006300945;
1574,800;0,02673866;0,006924284;
1576,664;0,02729446;0,007505986;
1578,528;0,02736862;0,007605951;
1580,391;0,02759895;0,007862002;
1582,255;0,02793589;0,008224572;
1584,119;0,02835084;0,008665059;
1585,982;0,02870937;0,009049033;
1587,846;0,02905382;0,009418836;
1589,710;0,02934604;0,009736328;
1591,573;0,02971063;0,01012609;
1593,437;0,03008198;0,01052253;
1595,301;0,03041512;0,01088068;
1597,164;0,03066997;0,01116045;
1599,028;0,03106599;0,0115813;
1600,892;0,03148319;0,01202324;
1602,755;0,03195146;0,01251617;
1604,619;0,03239098;0,01298026;
1606,483;0,03294895;0,01356271;
1608,346;0,03353769;0,01417585;
1610,210;0,03412207;0,01478454;
1612,074;0,0345987;0,0152854;
1613,937;0,03536393;0,01607478;
1615,801;0,03663347;0,01736839;
1617,665;0,03762775;0,01838664;
1619,528;0,03803736;0,01882015;
1621,392;0,03885742;0,01966403;
1623,256;0,04023687;0,02106721;
1625,119;0,0414502;0,02230419;
1626,983;0,04265591;0,02353347;
1628,847;0,04428805;0,0251891;
1630,710;0,04581516;0,02673962;
1632,574;0,0473441;0,02829189;
1634,438;0,04928773;0,03025876;
1636,301;0,05006015;0,03105436;
1638,165;0,04864803;0,02966533;
1640,029;0,04660344;0,02764375;
1641,892;0,04427242;0,02533566;
1643,756;0,04211681;0,02320291;
1645,620;0,04014104;0,02124992;
1647,483;0,03745497;0,01858654;
1649,347;0,03513;0,0162842;
1651,211;0,03363175;0,01480849;
1653,074;0,03144083;0,01264005;
1654,938;0,02945815;0,01067976;
1656,802;0,02875519;0,009999118;
1658,665;0,02814945;0,009415629;
1660,529;0,02778878;0,009077123;
1662,393;0,02729257;0,008603008;
1664,256;0,02661881;0,007951269;
1666,120;0,02617731;0,007531717;
1667,984;0,02599163;0,007367907;
1669,847;0,0256809;0,007078983;
1671,711;0,0251288;0,006548611;
1673,575;0,0246926;0,00613406;
1675,438;0,02415756;0,005620606;
1677,302;0,02350202;0,004986579;
1679,166;0,02311815;0,004624142;
1681,029;0,02273592;0,004263287;
1682,893;0,02244308;0,003991743;
1684,757;0,02112741;0,0026973;
1686,620;0,02016083;0,001751876;
1688,484;0,01959824;0,001210371;
1690,348;0,01903074;0,0006638889;
1692,211;0,01851204;0,0001661288;
1694,075;0,01830797;-1,706219E-5;
1695,939;0,01765773;-0,0006464944;
1697,802;0,01706151;-0,001221969;
1699,666;0,01651968;-0,001743124;
1701,530;0,01554081;-0,002701396;
1703,393;0,01525017;-0,002971502;
1705,257;0,01493659;-0,003264605;
1707,121;0,01466276;-0,003518036;
