;Apr28_TPC_02-04-04_LMW_salt;Apr28_TPC_02-04-04_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1949,398;0,006213129;-0,00469264;
1951,261;0,005949283;-0,004951162;
1953,125;0,005534669;-0,005360468;
1954,989;0,005186566;-0,005703278;
1956,852;0,004662937;-0,006221629;
1958,716;0,005089866;-0,005789437;
1960,580;0,005289575;-0,00558448;
1962,443;0,005035582;-0,00583324;
1964,307;0,004162611;-0,006700993;
1966,171;0,003603048;-0,007255352;
1968,034;0,003771897;-0,007081315;
1969,898;0,003444617;-0,007403422;
1971,762;0,003523582;-0,007319297;
1973,625;0,004025405;-0,00681233;
1975,489;0,004470167;-0,006362438;
1977,353;0,004294772;-0,006532717;
1979,216;0,004230565;-0,006591823;
1981,080;0,004436966;-0,006380335;
1982,944;0,004522434;-0,006289795;
1984,807;0,004809294;-0,005997877;
1986,671;0,005188915;-0,005613212;
1988,535;0,00574231;-0,005054788;
1990,398;0,005311377;-0,005480705;
1992,262;0,004187774;-0,006599307;
1994,126;0,004257235;-0,006524859;
1995,989;0,004271904;-0,006505216;
1997,853;0,004434839;-0,006337321;
1999,717;0,004559481;-0,006207733;
2001,580;0,004543755;-0,006218528;
2003,444;0,004501201;-0,006256164;
2005,308;0,004277769;-0,006474691;
2007,171;0,003794234;-0,006953335;
2009,035;0,002962032;-0,00778066;
2010,899;0,002745537;-0,007992292;
2012,762;0,003384455;-0,007348524;
2014,626;0,003576448;-0,007151694;
2016,490;0,002391706;-0,008331613;
2018,353;0,002851107;-0,007867401;
2020,217;0,004194322;-0,00651939;
2022,081;0,004669871;-0,006039057;
2023,944;0,004140699;-0,00656346;
2025,808;0,00339796;-0,007301441;
2027,672;0,003847476;-0,006847182;
2029,535;0,004778747;-0,00591118;
2031,399;0,004468368;-0,006216842;
2033,263;0,004043498;-0,006637006;
2035,126;0,004461032;-0,00621478;
2036,990;0,004199943;-0,006471191;
2038,854;0,004368209;-0,006298258;
2040,717;0,005474072;-0,005187742;
2042,581;0,005749133;-0,00490804;
2044,445;0,005476537;-0,005176008;
2046,308;0,005896024;-0,004751905;
2048,172;0,006845708;-0,003797619;
2050,036;0,007250822;-0,003387915;
2051,899;0,007196527;-0,003437632;
2053,763;0,006577418;-0,004052176;
2055,627;0,006791378;-0,003833663;
2057,490;0,007461719;-0,003158782;
2059,354;0,007869714;-0,002746258;
2061,218;0,007388495;-0,003222961;
2063,081;0,007403806;-0,003203147;
2064,945;0,007876514;-0,002725947;
2066,809;0,007946672;-0,002651311;
2068,672;0,008150517;-0,002442998;
