;May26_TPC_08-0-02_LMW_salt;May26_TPC_08-0-02_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1725,757;0,00950059;-0,002540421;
1727,621;0,009412719;-0,002621563;
1729,485;0,009090058;-0,002937524;
1731,348;0,00896439;-0,00305652;
1733,212;0,009303194;-0,002711072;
1735,076;0,009657694;-0,002349958;
1736,939;0,009201897;-0,002799169;
1738,803;0,009015854;-0,002978654;
1740,667;0,009090444;-0,002897534;
1742,530;0,009124746;-0,00285673;
1744,394;0,009211966;-0,002763036;
1746,258;0,009275762;-0,002692794;
1748,121;0,009588622;-0,002373515;
1749,985;0,009872833;-0,002082912;
1751,849;0,01038519;-0,001564192;
1753,712;0,01099437;-0,0009486734;
1755,576;0,0122995;0,000362766;
1757,440;0,01506679;0,003136341;
1759,303;0,01857031;0,006646122;
1761,167;0,02423559;0,01231763;
1763,031;0,02642614;0,01451439;
1764,894;0,01912912;0,00722354;
1766,758;0,01220731;0,000307889;
1768,622;0,009796276;-0,002097022;
1770,485;0,009068088;-0,002819109;
1772,349;0,008725048;-0,003156074;
1774,213;0,009072707;-0,002802366;
1776,076;0,009154137;-0,002714911;
1777,940;0,009021724;-0,002841326;
1779,804;0,00895709;-0,002899986;
1781,667;0,008860398;-0,00299073;
1783,531;0,00862312;-0,003222083;
1785,395;0,008796419;-0,003042885;
1787,258;0,009052151;-0,002781278;
1789,122;0,009096259;-0,00273132;
1790,986;0,009079833;-0,00274192;
1792,849;0,009036868;-0,002779083;
1794,713;0,008776258;-0,003033915;
1796,577;0,008697644;-0,003106776;
1798,441;0,008864577;-0,002934113;
1800,304;0,008974793;-0,00281819;
1802,168;0,008906345;-0,002880955;
1804,032;0,008952869;-0,002828772;
1805,895;0,008936419;-0,002839587;
1807,759;0,008758218;-0,003012175;
1809,623;0,008860409;-0,002904395;
1811,486;0,009058725;-0,002700512;
1813,350;0,009191792;-0,002561902;
1815,214;0,009031245;-0,002716927;
1817,077;0,008703273;-0,003039401;
1818,941;0,008564521;-0,003172677;
1820,805;0,008581223;-0,003150522;
1822,668;0,008751118;-0,002975196;
1824,532;0,008799564;-0,002921341;
1826,396;0,008682138;-0,00303338;
1828,259;0,008611836;-0,003098316;
1830,123;0,008599307;-0,003105503;
1831,987;0,008526088;-0,0031734;
1833,850;0,008502208;-0,003191981;
1835,714;0,008599547;-0,003089364;
1837,578;0,008555723;-0,00312793;
1839,441;0,00860636;-0,003072058;
1841,305;0,008596632;-0,003076571;
1843,169;0,008591368;-0,003076642;
1845,032;0,008662311;-0,003000526;
1846,896;0,00854046;-0,003117226;
1848,760;0,008441663;-0,003210892;
1850,623;0,008483624;-0,003163821;
1852,487;0,008751443;-0,002890913;
1854,351;0,008954;-0,002683285;
1856,214;0,00893843;-0,002693807;
1858,078;0,00890196;-0,002725249;
1859,942;0,008653011;-0,002969189;
1861,805;0,008884633;-0,002732579;
1863,669;0,00917825;-0,002433993;
1865,533;0,008967896;-0,002639398;
1867,396;0,008827023;-0,002775342;
1869,260;0,008743971;-0,002853485;
1871,124;0,008474568;-0,003117998;
1872,987;0,00830291;-0,003284786;
1874,851;0,008620804;-0,002962041;
1876,715;0,008971821;-0,002606192;
1878,578;0,008899612;-0,002673589;
1880,442;0,008731821;-0,002836586;
1882,306;0,008641843;-0,002921789;
1884,169;0,008544288;-0,003014588;
1886,033;0,008485835;-0,003068305;
1887,897;0,008305438;-0,003243984;
1889,760;0,008391031;-0,003153691;
1891,624;0,0087203;-0,002819742;
1893,488;0,00845656;-0,003078819;
1895,351;0,007991866;-0,003538868;
1897,215;0,007905672;-0,003620435;
1899,079;0,008286538;-0,003234961;
1900,942;0,008667433;-0,002849477;
1902,806;0,008718423;-0,002793915;
1904,670;0,008585177;-0,002922607;
1906,533;0,008312086;-0,003191161;
1908,397;0,007838331;-0,003660397;
1910,261;0,007612198;-0,00388203;
1912,124;0,007368273;-0,004121471;
1913,988;0,007356836;-0,004128442;
1915,852;0,007821446;-0,003659384;
1917,715;0,007898376;-0,003578022;
1919,579;0,007522504;-0,00394948;
1921,443;0,007124386;-0,004343201;
1923,306;0,007245498;-0,004217709;
1925,170;0,007121359;-0,004337485;
1927,034;0,007242032;-0,004212465;
1928,897;0,00778284;-0,003667327;
1930,761;0,007507819;-0,003938036;
1932,625;0,007065064;-0,004376495;
1934,488;0,006781789;-0,004655491;
1936,352;0,006651311;-0,004781705;
1938,216;0,006460738;-0,004968031;
1940,079;0,006063368;-0,005361171;
1941,943;0,006406008;-0,005014317;
1943,807;0,007289191;-0,004126936;
1945,670;0,006911785;-0,00450016;
1947,534;0,006398543;-0,005009235;
1949,398;0,006455899;-0,004947729;
1951,261;0,005213713;-0,006185781;
1953,125;0,004587697;-0,006807679;
1954,989;0,00491963;-0,006471643;
1956,852;0,004772038;-0,006615148;
1958,716;0,004121681;-0,007261433;
1960,580;0,003492693;-0,007886365;
1962,443;0,002597431;-0,008777586;
1964,307;0,002355844;-0,009015147;
1966,171;0,003103552;-0,008263429;
1968,034;0,004151508;-0,007211478;
1969,898;0,004763762;-0,006595244;
1971,762;0,003502591;-0,00785245;
1973,625;0,003417662;-0,007933429;
1975,489;0,002253023;-0,009094133;
1977,353;0,0008888024;-0,01045443;
1979,216;0,002678043;-0,008661288;
1981,080;0,003579066;-0,007756373;
1982,944;0,003913343;-0,00741822;
1984,807;0,004386449;-0,006941253;
1986,671;0,004406599;-0,006917256;
1988,535;0,00435507;-0,006964951;
1990,398;0,003894738;-0,007421466;
1992,262;0,005146465;-0,006165934;
1994,126;0,006296565;-0,005012044;
1995,989;0,005470945;-0,005833888;
1997,853;0,003997061;-0,007304011;
1999,717;0,002668752;-0,008628572;
2001,580;0,003288383;-0,008005207;
2003,444;0,004371002;-0,006918869;
2005,308;0,003736917;-0,007549247;
2007,171;0,002039482;-0,009242989;
2009,035;0,001311097;-0,009967696;
2010,899;0,002708661;-0,008566467;
2012,762;0,004066355;-0,007205121;
2014,626;0,002920001;-0,008347838;
2016,490;0,002791231;-0,008472983;
2018,353;0,00300204;-0,008258563;
2020,217;0,002266419;-0,008990586;
2022,081;0,001463959;-0,009789462;
2023,944;0,002873223;-0,008376626;
2025,808;0,002606106;-0,008640185;
2027,672;0,00187747;-0,009365276;
2029,535;0,002213979;-0,009025235;
2031,399;0,001010559;-0,01022514;
2033,263;0,001785163;-0,009447024;
2035,126;0,004854165;-0,00637453;
2036,990;0,00458267;-0,006642543;
2038,854;0,002911998;-0,008309747;
2040,717;0,00366317;-0,00755512;
2042,581;0,004921986;-0,006292861;
2044,445;0,004347628;-0,006863789;
2046,308;0,005056757;-0,006151243;
2048,172;0,005408319;-0,005796275;
2050,036;0,005666806;-0,005534395;
2051,899;0,007539039;-0,003658781;
2053,763;0,007507045;-0,003687407;
2055,627;0,006742778;-0,004448318;
2057,490;0,008284849;-0,002902903;
2059,354;0,009790422;-0,001393998;
2061,218;0,009717978;-0,001463122;
2063,081;0,008114645;-0,003063147;
2064,945;0,007192704;-0,003981792;
2066,809;0,007707413;-0,003463799;
